anime id,naslov,ocena,tip,število epizod,leto izdaje,število članov
532,Bishoujo Senshi Sailor Moon S,7.90,TV,38,1994,155482
59001,Cheng He Titong,7.90,ONA,24,2024,15246
59898,City The Animation,7.90,TV,13,2025,57584
34437,Code Geass: Fukkatsu no Lelouch,7.90,Movie,1,2019,335555
7338,Darker than Black: Kuro no Keiyakusha Gaiden,7.90,Special,4,2010,265978
22961,Date A Live II: Kurumi Star Festival,7.90,OVA,1,2014,197046
57066,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka V: Houjou no Megami-hen,7.90,TV,15,2024,194764
790,Ergo Proxy,7.90,TV,23,2006,693650
35222,Gakuen Babysitters,7.90,TV,12,2018,367767
7062,Hidamari Sketch x ☆☆☆,7.90,TV,12,2010,30258
54118,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,7.90,Movie,2,2023,4212
2829,Ie Naki Ko Remy,7.90,TV,23,1996,23417
2952,Final Fantasy VII: Advent Children Complete,7.89,OVA,1,2009,137106
3907,Ginga Sengoku Gunyuuden Rai,7.89,TV,52,1994,17566
9289,Hanasaku Iroha,7.89,TV,26,2011,343167
53199,Kidou Senshi Gundam: Suisei no Majo Season 2,7.89,TV,12,2023,104188
85,Kidou Senshi Zeta Gundam,7.89,TV,50,1985,84082
53287,Love Live! Superstar!! 3rd Season,7.89,TV,12,2024,20560
27947,Lupin III (2015),7.89,TV,24,2015,76314
28297,Ore Monogatari!!,7.89,TV,24,2015,717676
35848,Promare,7.89,Movie,1,2019,296670
18397,Shingeki no Kyojin OVA,7.89,OVA,3,2013,494001
12815,Shirokuma Cafe,7.89,TV,50,2012,100655
16395,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,7.89,OVA,1,2013,23354
20057,Space☆Dandy,7.89,TV,13,2014,381063
14075,Zetsuen no Tempest,7.89,TV,24,2012,619091
3228,Zoku Sayonara Zetsubou Sensei,7.89,TV,13,2008,138214
114,Sakigake!! Cromartie Koukou,7.88,TV,26,2003,150530
24,School Rumble,7.88,TV,26,2004,340257
31098,Ushio to Tora (TV) 2nd Season,7.88,TV,13,2016,138755
37786,Yagate Kimi ni Naru,7.88,TV,13,2018,370893
29893,Aria the Avvenire,7.88,Special,3,2015,30778
41462,BanG Dream! Film Live 2nd Stage,7.88,Movie,1,2021,9316
34438,Code Geass: Hangyaku no Lelouch I - Koudou,7.88,Movie,1,2017,110526
38436,Doupo Cangqiong 3rd Season,7.88,ONA,12,2019,11015
31339,Drifters,7.88,TV,12,2016,603415
36028,Golden Kamuy,7.88,TV,12,2018,432969
35075,Hoozuki no Reitetsu 2nd Season,7.88,TV,13,2017,50470
2828,Ie Naki Ko,7.88,TV,51,1977,18972
13331,Jormungand: Perfect Order,7.88,TV,12,2012,204545
12031,Kingdom,7.88,TV,38,2012,244567
1088,Macross,7.88,TV,36,1982,119618
3572,Macross F,7.88,TV,25,2008,153123
36563,Megalo Box,7.88,TV,13,2018,535452
780,Meitantei Conan Movie 02: 14-banme no Target,7.88,Movie,1,1998,68550
30952,New Initial D Movie: Legend 3 - Mugen,7.88,Movie,1,2016,31279
38201,Osomatsu-san Movie,7.88,Movie,1,2019,16788
249,InuYasha,7.87,TV,167,2000,841124
1594,Jigoku Shoujo Futakomori,7.87,TV,26,2006,169089
14719,JoJo no Kimyou na Bouken (TV),7.87,TV,26,2012,1786739
52168,Kidou Senshi Gundam: Suisei no Majo - Prologue,7.87,Special,1,2022,53438
