naslov,povezava,ocena,studii,tip,epizode,zvrsti,leto izdaje
Tennis no Oujisama: Zenkoku Taikai-hen - Final,https://myanimelist.net/anime/4053/Tennis_no_Oujisama__Zenkoku_Taikai-hen_-_Final,7.94,['M.S.C'],OVA,7,[],2008
Tunshi Xingkong Movie: Xueluo Dalu,https://myanimelist.net/anime/59939/Tunshi_Xingkong_Movie__Xueluo_Dalu,7.95,['Sparkly Key Animation Studio'],ONA,1,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",2024
Wotaku ni Koi wa Muzukashii OVA,https://myanimelist.net/anime/38349/Wotaku_ni_Koi_wa_Muzukashii_OVA,7.94,"['A-1 Pictures', 'Lapin Track']",OVA,3,[],2019
Yi Nian Yong Heng,https://myanimelist.net/anime/41923/Yi_Nian_Yong_Heng,7.94,['B.CMAY PICTURES'],ONA,52,"['Action', 'Comedy', 'Fantasy']",2020
Aria the Origination: Sono Choppiri Himitsu no Basho ni...,https://myanimelist.net/anime/4772/Aria_the_Origination__Sono_Choppiri_Himitsu_no_Basho_ni,7.94,['HAL Film Maker'],Special,1,[],2008
Benghuai: Xing Qiong Tiedao - Gelamo de Yujin,https://myanimelist.net/anime/59077/Benghuai__Xing_Qiong_Tiedao_-_Gelamo_de_Yujin,7.94,['add some'],ONA,1,"['Action', 'Fantasy', 'Sci-Fi']",2024
Douluo Dalu,https://myanimelist.net/anime/37150/Douluo_Dalu,7.94,['Sparkly Key Animation Studio'],ONA,26,"['Action', 'Adventure', 'Fantasy', 'Romance']",2018
Fate/Grand Order: Zettai Majuu Sensen Babylonia,https://myanimelist.net/anime/38084/Fate_Grand_Order__Zettai_Majuu_Sensen_Babylonia,7.94,['CloverWorks'],TV,21,"['Action', 'Fantasy']",2019
Hanma Baki: Son of Ogre 2nd Season,https://myanimelist.net/anime/51318/Hanma_Baki__Son_of_Ogre_2nd_Season,7.94,['TMS Entertainment'],ONA,27,[],2023
High Score Girl II,https://myanimelist.net/anime/39570/High_Score_Girl_II,7.94,['J.C.Staff'],TV,9,"['Comedy', 'Romance']",2019
Kanon (2006),https://myanimelist.net/anime/1530/Kanon_2006,7.94,['Kyoto Animation'],TV,24,"['Drama', 'Romance', 'Supernatural']",2006
Kidou Senshi Gundam Thunderbolt,https://myanimelist.net/anime/31973/Kidou_Senshi_Gundam_Thunderbolt,7.94,['Sunrise'],ONA,4,"['Action', 'Drama', 'Sci-Fi']",2015
Kidou Senshi Gundam Thunderbolt: December Sky,https://myanimelist.net/anime/33221/Kidou_Senshi_Gundam_Thunderbolt__December_Sky,7.94,['Sunrise'],Movie,1,"['Action', 'Drama', 'Sci-Fi']",2016
Kindaichi Shounen no Jikenbo,https://myanimelist.net/anime/2076/Kindaichi_Shounen_no_Jikenbo,7.94,['Toei Animation'],TV,148,[],1997
Kobato.,https://myanimelist.net/anime/5678/Kobato,7.94,['Madhouse'],TV,24,"['Drama', 'Romance', 'Supernatural']",2009
Kono Oto Tomare!,https://myanimelist.net/anime/38080/Kono_Oto_Tomare,7.94,['Platinum Vision'],TV,13,[],2019
Macross F Movie 2: Sayonara no Tsubasa,https://myanimelist.net/anime/7222/Macross_F_Movie_2__Sayonara_no_Tsubasa,7.94,['Satelight'],Movie,1,"['Action', 'Award Winning', 'Romance', 'Sci-Fi']",2011
Major Movie: Yuujou no Winning Shot,https://myanimelist.net/anime/5029/Major_Movie__Yuujou_no_Winning_Shot,7.94,['Xebec'],Movie,1,[],2008
Nagi no Asu kara,https://myanimelist.net/anime/16067/Nagi_no_Asu_kara,7.94,['P.A. Works'],TV,26,"['Drama', 'Fantasy', 'Romance']",2013
Non Non Biyori,https://myanimelist.net/anime/17549/Non_Non_Biyori,7.94,['SILVER LINK.'],TV,12,[],2013
Noragami,https://myanimelist.net/anime/20507/Noragami,7.94,['Bones'],TV,12,"['Action', 'Supernatural']",2014
Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo 2nd Season,https://myanimelist.net/anime/57616/Kimi_no_Koto_ga_Daidaidaidaidaisuki_na_100-nin_no_Kanojo_2nd_Season,7.93,['Bibury Animation Studios'],TV,12,"['Comedy', 'Romance']",2025
Macross: Do You Remember Love?,https://myanimelist.net/anime/1089/Macross__Do_You_Remember_Love,7.93,['Tatsunoko Production'],Movie,1,"['Action', 'Romance', 'Sci-Fi']",1984
Romantic Killer,https://myanimelist.net/anime/52865/Romantic_Killer,7.93,['domerica'],ONA,12,"['Comedy', 'Romance', 'Supernatural']",2022
Sakamoto Days Part 2,https://myanimelist.net/anime/60285/Sakamoto_Days_Part_2,7.93,['TMS Entertainment'],TV,11,"['Action', 'Comedy']",2025
Sakasama no Patema,https://myanimelist.net/anime/12477/Sakasama_no_Patema,7.93,"['Studio Rikka', 'Purple Cow Studio Japan']",Movie,1,"['Adventure', 'Award Winning', 'Sci-Fi']",2013
Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,https://myanimelist.net/anime/36949/Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen,7.93,['J.C.Staff'],TV,12,"['Gourmet', 'Ecchi']",2018
Takarajima,https://myanimelist.net/anime/2618/Takarajima,7.93,['Tokyo Movie Shinsha'],TV,26,"['Adventure', 'Drama', 'Mystery']",1978
Zhu Xian 2nd Season,https://myanimelist.net/anime/58509/Zhu_Xian_2nd_Season,7.93,['Cloud Art'],ONA,26,"['Action', 'Adventure', 'Fantasy']",2024
Boku no Hero Academia the Movie 2: Heroes:Rising,https://myanimelist.net/anime/39565/Boku_no_Hero_Academia_the_Movie_2__Heroes_Rising,7.93,['Bones'],Movie,1,[],2019
Full Moon wo Sagashite,https://myanimelist.net/anime/122/Full_Moon_wo_Sagashite,7.93,['Studio Deen'],TV,52,"['Comedy', 'Drama', 'Romance', 'Supernatural']",2002
Hidamari Sketch x Honeycomb,https://myanimelist.net/anime/11239/Hidamari_Sketch_x_Honeycomb,7.93,['Shaft'],TV,12,[],2012
Hikaru no Go: Hokuto Hai e no Michi,https://myanimelist.net/anime/645/Hikaru_no_Go__Hokuto_Hai_e_no_Michi,7.93,['Studio Pierrot'],Special,1,[],2004
I Byeol-e Pil-yohan,https://myanimelist.net/anime/61595/I_Byeol-e_Pil-yohan,7.93,['Climax Studio'],ONA,1,"['Romance', 'Sci-Fi']",2025
"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",https://myanimelist.net/anime/4059/Clannad__Mou_Hitotsu_no_Sekai_Tomoyo-hen,7.92,['Kyoto Animation'],Special,1,"['Drama', 'Romance']",2008
