naslov,povezava,ocena,studii,tip,epizode,zvrsti,leto izdaje
Ore Monogatari!!,https://myanimelist.net/anime/28297/Ore_Monogatari,7.89,['Madhouse'],TV,24,"['Comedy', 'Romance']",2015
Promare,https://myanimelist.net/anime/35848/Promare,7.89,['Trigger'],Movie,1,"['Action', 'Sci-Fi']",2019
Shingeki no Kyojin OVA,https://myanimelist.net/anime/18397/Shingeki_no_Kyojin_OVA,7.89,['Wit Studio'],OVA,3,"['Action', 'Drama', 'Suspense']",2013
Shirokuma Cafe,https://myanimelist.net/anime/12815/Shirokuma_Cafe,7.89,['Studio Pierrot'],TV,50,[],2012
SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,https://myanimelist.net/anime/16395/SKET_Dance__Imouto_no_Nayami_ni_Nayamu_Ani_ni_Nayamu_Imouto_to_Sono_Nakama-tachi,7.89,['Tatsunoko Production'],OVA,1,[],2013
Space☆Dandy,https://myanimelist.net/anime/20057/Space☆Dandy,7.89,['Bones'],TV,13,"['Comedy', 'Sci-Fi']",2014
Zetsuen no Tempest,https://myanimelist.net/anime/14075/Zetsuen_no_Tempest,7.89,['Bones'],TV,24,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Suspense']",2012
Zoku Sayonara Zetsubou Sensei,https://myanimelist.net/anime/3228/Zoku_Sayonara_Zetsubou_Sensei,7.89,['Shaft'],TV,13,[],2008
Sakigake!! Cromartie Koukou,https://myanimelist.net/anime/114/Sakigake_Cromartie_Koukou,7.88,['Production I.G'],TV,26,[],2003
School Rumble,https://myanimelist.net/anime/24/School_Rumble,7.88,['Studio Comet'],TV,26,"['Comedy', 'Romance']",2004
Ushio to Tora (TV) 2nd Season,https://myanimelist.net/anime/31098/Ushio_to_Tora_TV_2nd_Season,7.88,"['MAPPA', 'Studio VOLN']",TV,13,"['Action', 'Adventure', 'Supernatural']",2016
Yagate Kimi ni Naru,https://myanimelist.net/anime/37786/Yagate_Kimi_ni_Naru,7.88,['TROYCA'],TV,13,"['Drama', 'Girls Love']",2018
Aria the Avvenire,https://myanimelist.net/anime/29893/Aria_the_Avvenire,7.88,['TYO Animations'],Special,3,"['Sci-Fi', 'Slice of Life']",2015
BanG Dream! Film Live 2nd Stage,https://myanimelist.net/anime/41462/BanG_Dream_Film_Live_2nd_Stage,7.88,['SANZIGEN'],Movie,1,[],2021
Code Geass: Hangyaku no Lelouch I - Koudou,https://myanimelist.net/anime/34438/Code_Geass__Hangyaku_no_Lelouch_I_-_Koudou,7.88,['Sunrise'],Movie,1,"['Action', 'Sci-Fi']",2017
Doupo Cangqiong 3rd Season,https://myanimelist.net/anime/38436/Doupo_Cangqiong_3rd_Season,7.88,['Motion Magic'],ONA,12,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Supernatural']",2019
Drifters,https://myanimelist.net/anime/31339/Drifters,7.88,['Hoods Entertainment'],TV,12,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2016
Golden Kamuy,https://myanimelist.net/anime/36028/Golden_Kamuy,7.88,['Geno Studio'],TV,12,"['Action', 'Adventure']",2018
Hoozuki no Reitetsu 2nd Season,https://myanimelist.net/anime/35075/Hoozuki_no_Reitetsu_2nd_Season,7.88,['Studio Deen'],TV,13,"['Comedy', 'Fantasy']",2017
Ie Naki Ko,https://myanimelist.net/anime/2828/Ie_Naki_Ko,7.88,"['Madhouse', 'TMS Entertainment']",TV,51,"['Adventure', 'Drama']",1977
Jormungand: Perfect Order,https://myanimelist.net/anime/13331/Jormungand__Perfect_Order,7.88,['White Fox'],TV,12,"['Action', 'Adventure']",2012
Kingdom,https://myanimelist.net/anime/12031/Kingdom,7.88,['Studio Pierrot'],TV,38,[],2012
Macross,https://myanimelist.net/anime/1088/Macross,7.88,['Tatsunoko Production'],TV,36,"['Action', 'Romance', 'Sci-Fi']",1982
Macross F,https://myanimelist.net/anime/3572/Macross_F,7.88,['Satelight'],TV,25,"['Action', 'Award Winning', 'Romance', 'Sci-Fi']",2008
Megalo Box,https://myanimelist.net/anime/36563/Megalo_Box,7.88,['TMS Entertainment'],TV,13,"['Sci-Fi', 'Sports']",2018
Meitantei Conan Movie 02: 14-banme no Target,https://myanimelist.net/anime/780/Meitantei_Conan_Movie_02__14-banme_no_Target,7.88,['TMS Entertainment'],Movie,1,"['Adventure', 'Comedy', 'Mystery']",1998
New Initial D Movie: Legend 3 - Mugen,https://myanimelist.net/anime/30952/New_Initial_D_Movie__Legend_3_-_Mugen,7.88,"['SANZIGEN', 'LIDENFILMS']",Movie,1,[],2016
Osomatsu-san Movie,https://myanimelist.net/anime/38201/Osomatsu-san_Movie,7.88,['Studio Pierrot'],Movie,1,[],2019
InuYasha,https://myanimelist.net/anime/249/InuYasha,7.87,['Sunrise'],TV,167,"['Action', 'Adventure', 'Fantasy', 'Romance']",2000
Jigoku Shoujo Futakomori,https://myanimelist.net/anime/1594/Jigoku_Shoujo_Futakomori,7.87,['Studio Deen'],TV,26,"['Horror', 'Mystery', 'Supernatural', 'Suspense']",2006
JoJo no Kimyou na Bouken (TV),https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV,7.87,['David Production'],TV,26,"['Action', 'Adventure', 'Supernatural']",2012
Kidou Senshi Gundam: Suisei no Majo - Prologue,https://myanimelist.net/anime/52168/Kidou_Senshi_Gundam__Suisei_no_Majo_-_Prologue,7.87,['Sunrise'],Special,1,"['Action', 'Sci-Fi']",2022
Non Non Biyori Repeat: Hotaru ga Tanoshinda,https://myanimelist.net/anime/32547/Non_Non_Biyori_Repeat__Hotaru_ga_Tanoshinda,7.87,['SILVER LINK.'],OVA,1,[],2016
One Piece Film: Gold,https://myanimelist.net/anime/31490/One_Piece_Film__Gold,7.87,['Toei Animation'],Movie,1,"['Action', 'Adventure', 'Fantasy']",2016
Ookiku Furikabutte,https://myanimelist.net/anime/2159/Ookiku_Furikabutte,7.87,['A-1 Pictures'],TV,25,[],2007
Paradise Kiss,https://myanimelist.net/anime/322/Paradise_Kiss,7.87,['Madhouse'],TV,12,"['Drama', 'Romance']",2005
Saiunkoku Monogatari,https://myanimelist.net/anime/957/Saiunkoku_Monogatari,7.87,['Madhouse'],TV,39,"['Adventure', 'Fantasy', 'Romance']",2006
Shijou Saikyou no Deshi Kenichi OVA,https://myanimelist.net/anime/11813/Shijou_Saikyou_no_Deshi_Kenichi_OVA,7.87,"[""Brain's Base""]",OVA,11,"['Action', 'Comedy']",2012
Tennis no Oujisama: Zenkoku Taikai-hen,https://myanimelist.net/anime/995/Tennis_no_Oujisama__Zenkoku_Taikai-hen,7.87,['M.S.C'],OVA,13,[],2006
Tennis no Oujisama: Zenkoku Taikai-hen - Semifinal,https://myanimelist.net/anime/2752/Tennis_no_Oujisama__Zenkoku_Taikai-hen_-_Semifinal,7.87,['M.S.C'],OVA,6,[],2007
Wu Dong Qian Kun 4th Season,https://myanimelist.net/anime/57183/Wu_Dong_Qian_Kun_4th_Season,7.87,['DC Impression Vision'],ONA,12,"['Action', 'Adventure', 'Fantasy']",2023
Yuanshen: Weixing Zhi Lu,https://myanimelist.net/anime/58930/Yuanshen__Weixing_Zhi_Lu,7.87,['add some'],ONA,1,"['Drama', 'Fantasy']",2024
Yuzuki-san Chi no Yonkyoudai.,https://myanimelist.net/anime/55153/Yuzuki-san_Chi_no_Yonkyoudai,7.87,['Shuka'],TV,12,[],2023
BanG Dream! Movie: Poppin' Dream!,https://myanimelist.net/anime/41782/BanG_Dream_Movie__Poppin_Dream,7.87,['SANZIGEN'],Movie,1,[],2022
Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,https://myanimelist.net/anime/12113/Berserk__Ougon_Jidai-hen_II_-_Doldrey_Kouryaku,7.87,['Studio 4°C'],Movie,1,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror']",2012
Carnival Phantasm,https://myanimelist.net/anime/10012/Carnival_Phantasm,7.87,['Lerche'],OVA,12,"['Comedy', 'Supernatural']",2011
Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,https://myanimelist.net/anime/59205/Clevatess__Majuu_no_Ou_to_Akago_to_Shikabane_no_Yuusha,7.87,['Lay-duce'],TV,12,"['Action', 'Fantasy']",2025
Death Billiards,https://myanimelist.net/anime/14353/Death_Billiards,7.87,['Madhouse'],Movie,1,"['Drama', 'Fantasy', 'Suspense']",2013
Doraemon (1979),https://myanimelist.net/anime/2471/Doraemon_1979,7.87,['Shin-Ei Animation'],TV,1787,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",1979
Free! Eternal Summer: Kindan no All Hard!,https://myanimelist.net/anime/26213/Free_Eternal_Summer__Kindan_no_All_Hard,7.87,"['Kyoto Animation', 'Animation Do']",Special,1,[],2015
Higurashi no Naku Koro ni,https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni,7.87,['Studio Deen'],TV,26,"['Horror', 'Mystery', 'Suspense']",2006
Boku no Hero Academia 4th Season,https://myanimelist.net/anime/38408/Boku_no_Hero_Academia_4th_Season,7.86,['Bones'],TV,25,[],2019
Cool Doji Danshi,https://myanimelist.net/anime/51680/Cool_Doji_Danshi,7.86,['Studio Pierrot'],TV,24,[],2022
ef: A Tale of Memories.,https://myanimelist.net/anime/2924/ef__A_Tale_of_Memories,7.86,['Shaft'],TV,12,"['Drama', 'Mystery', 'Romance']",2007
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,https://myanimelist.net/anime/3014/Ginga_Eiyuu_Densetsu__Waga_Yuku_wa_Hoshi_no_Taikai,7.86,['Kitty Film Mitaka Studio'],Movie,1,"['Action', 'Sci-Fi']",1988
Heartcatch Precure!,https://myanimelist.net/anime/7645/Heartcatch_Precure,7.86,['Toei Animation'],TV,49,"['Action', 'Comedy']",2010
Hibike! Euphonium Movie 2: Todoketai Melody,https://myanimelist.net/anime/35082/Hibike_Euphonium_Movie_2__Todoketai_Melody,7.86,['Kyoto Animation'],Movie,1,[],2017
K-On!,https://myanimelist.net/anime/5680/K-On,7.86,['Kyoto Animation'],TV,13,[],2009
Kami nomi zo Shiru Sekai II,https://myanimelist.net/anime/10080/Kami_nomi_zo_Shiru_Sekai_II,7.86,['Manglobe'],TV,12,"['Comedy', 'Romance', 'Supernatural']",2011
Kotonoha no Niwa,https://myanimelist.net/anime/16782/Kotonoha_no_Niwa,7.86,['CoMix Wave Films'],Movie,1,"['Award Winning', 'Drama', 'Romance']",2013
Kuroshitsuji: Kishuku Gakkou-hen,https://myanimelist.net/anime/55855/Kuroshitsuji__Kishuku_Gakkou-hen,7.86,['CloverWorks'],TV,11,"['Action', 'Mystery', 'Supernatural']",2024
Liang Bu Yi 2nd Season,https://myanimelist.net/anime/50403/Liang_Bu_Yi_2nd_Season,7.86,['Paper Plane Animation Studio'],ONA,24,"['Comedy', 'Romance']",2022
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,https://myanimelist.net/anime/34021/Lupin_the_IIIrd__Chikemuri_no_Ishikawa_Goemon,7.86,['Telecom Animation Film'],Movie,1,"['Action', 'Adventure', 'Drama']",2017
Magic Kaito 1412,https://myanimelist.net/anime/25517/Magic_Kaito_1412,7.86,['A-1 Pictures'],TV,24,"['Adventure', 'Comedy', 'Romance']",2014
Mahou Shoujo Lyrical Nanoha: The Movie 1st,https://myanimelist.net/anime/4985/Mahou_Shoujo_Lyrical_Nanoha__The_Movie_1st,7.86,['Seven Arcs'],Movie,1,"['Action', 'Comedy', 'Drama', 'Sci-Fi']",2010
Meitantei Conan Movie 01: Tokei Jikake no Matenrou,https://myanimelist.net/anime/779/Meitantei_Conan_Movie_01__Tokei_Jikake_no_Matenrou,7.86,['TMS Entertainment'],Movie,1,"['Adventure', 'Comedy', 'Mystery']",1997
Meitantei Conan Movie 23: Konjou no Fist,https://myanimelist.net/anime/38770/Meitantei_Conan_Movie_23__Konjou_no_Fist,7.86,['TMS Entertainment'],Movie,1,"['Action', 'Comedy', 'Drama', 'Mystery']",2019
Oniisama e...,https://myanimelist.net/anime/795/Oniisama_e,7.86,['Tezuka Productions'],TV,39,"['Drama', 'Girls Love']",1991
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,https://myanimelist.net/anime/6007/Ookami_to_Koushinryou_II__Ookami_to_Kohakuiro_no_Yuuutsu,7.86,"[""Brain's Base"", 'Marvy Jack']",OVA,1,"['Adventure', 'Romance', 'Supernatural']",2009
Quanzhi Gaoshou,https://myanimelist.net/anime/33926/Quanzhi_Gaoshou,7.86,['B.CMAY PICTURES'],ONA,12,[],2017
Tsue to Tsurugi no Wistoria,https://myanimelist.net/anime/58059/Tsue_to_Tsurugi_no_Wistoria,7.86,"['Actas', 'Bandai Namco Pictures']",TV,12,"['Action', 'Fantasy']",2024
Wu Dong Qian Kun 3rd Season,https://myanimelist.net/anime/49570/Wu_Dong_Qian_Kun_3rd_Season,7.86,['DC Impression Vision'],ONA,12,"['Action', 'Adventure', 'Fantasy']",2022
Wu Shan Wu Xing (2020),https://myanimelist.net/anime/37936/Wu_Shan_Wu_Xing_2020,7.86,['Samsara Animation Studio'],ONA,3,"['Action', 'Fantasy']",2020
Zan Sayonara Zetsubou Sensei,https://myanimelist.net/anime/6377/Zan_Sayonara_Zetsubou_Sensei,7.86,['Shaft'],TV,13,[],2009
Shingeki no Kyojin Movie 1: Guren no Yumiya,https://myanimelist.net/anime/23775/Shingeki_no_Kyojin_Movie_1__Guren_no_Yumiya,7.85,['Wit Studio'],Movie,1,"['Action', 'Drama', 'Suspense']",2014
Soul Eater,https://myanimelist.net/anime/3588/Soul_Eater,7.85,['Bones'],TV,51,"['Action', 'Comedy', 'Fantasy']",2008
Terra e... (TV),https://myanimelist.net/anime/2158/Terra_e_TV,7.85,"['Tokyo Kids', 'Minami Machi Bugyousho']",TV,24,"['Action', 'Drama', 'Sci-Fi']",2007
Tokyo Revengers,https://myanimelist.net/anime/42249/Tokyo_Revengers,7.85,['LIDENFILMS'],TV,24,"['Action', 'Drama']",2021
Tonikaku Kawaii,https://myanimelist.net/anime/41389/Tonikaku_Kawaii,7.85,['Seven Arcs'],TV,12,"['Comedy', 'Romance']",2020
Top wo Nerae! Gunbuster,https://myanimelist.net/anime/949/Top_wo_Nerae_Gunbuster,7.85,['Gainax'],OVA,6,"['Action', 'Award Winning', 'Comedy', 'Drama', 'Sci-Fi']",1988
Undead Girl Murder Farce,https://myanimelist.net/anime/54790/Undead_Girl_Murder_Farce,7.85,['Lapin Track'],TV,13,"['Fantasy', 'Mystery']",2023
Yume-iro Pâtissière,https://myanimelist.net/anime/6586/Yume-iro_Pâtissière,7.85,['Studio Hibari'],TV,50,[],2009
Yuru Yuri Nachuyachumi!,https://myanimelist.net/anime/23225/Yuru_Yuri_Nachuyachumi,7.85,['TYO Animations'],OVA,1,"['Comedy', 'Girls Love']",2015
Aishang Ta de Liyou,https://myanimelist.net/anime/54846/Aishang_Ta_de_Liyou,7.85,['Red Dog Culture House'],ONA,22,"['Drama', 'Romance']",2023
Akage no Anne,https://myanimelist.net/anime/283/Akage_no_Anne,7.85,['Nippon Animation'],TV,50,[],1979
High☆Speed! Movie: Free! Starting Days,https://myanimelist.net/anime/30415/High☆Speed_Movie__Free_Starting_Days,7.85,['Kyoto Animation'],Movie,1,"['Drama', 'Sports']",2015
Hoozuki no Reitetsu 2nd Season: Sono Ni,https://myanimelist.net/anime/37029/Hoozuki_no_Reitetsu_2nd_Season__Sono_Ni,7.85,['Studio Deen'],TV,13,"['Comedy', 'Fantasy']",2018
K-On!!: Keikaku!,https://myanimelist.net/anime/9734/K-On__Keikaku,7.85,['Kyoto Animation'],Special,1,[],2011
K-On!: Live House!,https://myanimelist.net/anime/6862/K-On__Live_House,7.85,['Kyoto Animation'],Special,1,[],2010
Kidou Senshi Gundam: Suisei no Majo,https://myanimelist.net/anime/49828/Kidou_Senshi_Gundam__Suisei_no_Majo,7.85,['Sunrise'],TV,12,"['Action', 'Sci-Fi']",2022
Lupin III vs. Meitantei Conan: The Movie,https://myanimelist.net/anime/18429/Lupin_III_vs_Meitantei_Conan__The_Movie,7.85,['TMS Entertainment'],Movie,1,"['Action', 'Comedy', 'Mystery']",2013
Madogiwa no Totto-chan,https://myanimelist.net/anime/54764/Madogiwa_no_Totto-chan,7.85,['Shin-Ei Animation'],Movie,1,[],2023
Meitantei Conan Movie 22: Zero no Shikkounin,https://myanimelist.net/anime/35798/Meitantei_Conan_Movie_22__Zero_no_Shikkounin,7.85,['TMS Entertainment'],Movie,1,"['Action', 'Award Winning', 'Drama', 'Mystery']",2018
One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,https://myanimelist.net/anime/36215/One_Piece__Episode_of_East_Blue_-_Luffy_to_4-nin_no_Nakama_no_Daibouken,7.85,['Toei Animation'],TV Special,1,"['Action', 'Adventure', 'Fantasy']",2017
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,https://myanimelist.net/anime/50739/Otonari_no_Tenshi-sama_ni_Itsunomanika_Dame_Ningen_ni_Sareteita_Ken,7.85,['Project No.9'],TV,12,[],2023
Machikado Mazoku: 2-choume,https://myanimelist.net/anime/42745/Machikado_Mazoku__2-choume,7.84,['J.C.Staff'],TV,12,[],2022
Noragami Aragoto OVA,https://myanimelist.net/anime/30885/Noragami_Aragoto_OVA,7.84,['Bones'],OVA,2,"['Comedy', 'Supernatural']",2015
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,https://myanimelist.net/anime/25161/One_Piece_3D2Y__Ace_no_shi_wo_Koete_Luffy_Nakama_Tono_Chikai,7.84,['Toei Animation'],TV Special,1,"['Adventure', 'Fantasy']",2014
Owarimonogatari 2nd Season Recaps,https://myanimelist.net/anime/36796/Owarimonogatari_2nd_Season_Recaps,7.84,['Shaft'],TV Special,2,"['Comedy', 'Mystery', 'Supernatural']",2017
Sayonara Zetsubou Sensei,https://myanimelist.net/anime/2605/Sayonara_Zetsubou_Sensei,7.85,['Shaft'],TV,12,[],2007
Seitokai Yakuindomo* OVA,https://myanimelist.net/anime/26123/Seitokai_Yakuindomo_OVA,7.84,['GoHands'],OVA,10,[],2014
Sekaiichi Hatsukoi OVA,https://myanimelist.net/anime/8063/Sekaiichi_Hatsukoi_OVA,7.84,['Studio Deen'],OVA,2,[],2011
Tennis no Oujisama,https://myanimelist.net/anime/22/Tennis_no_Oujisama,7.84,['Trans Arts'],TV,178,[],2001
Tsuki ga Michibiku Isekai Douchuu 2nd Season,https://myanimelist.net/anime/49889/Tsuki_ga_Michibiku_Isekai_Douchuu_2nd_Season,7.84,['J.C.Staff'],TV,25,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2024
Urusei Yatsura (2022) 2nd Season,https://myanimelist.net/anime/54829/Urusei_Yatsura_2022_2nd_Season,7.84,['David Production'],TV,23,"['Comedy', 'Romance', 'Sci-Fi']",2024
Urusei Yatsura 2: Beautiful Dreamer,https://myanimelist.net/anime/1921/Urusei_Yatsura_2__Beautiful_Dreamer,7.84,['Studio Pierrot'],Movie,1,"['Action', 'Adventure', 'Comedy', 'Drama', 'Romance', 'Sci-Fi']",1984
Wanmei Shijie,https://myanimelist.net/anime/47405/Wanmei_Shijie,7.84,['Foch Film'],ONA,234,"['Action', 'Adventure', 'Fantasy']",2021
Wu Dong Qian Kun 5th Season,https://myanimelist.net/anime/60541/Wu_Dong_Qian_Kun_5th_Season,7.84,"['Motion Magic', 'DC Impression Vision']",ONA,12,"['Action', 'Adventure', 'Fantasy']",2025
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,7.84,['Lerche'],TV,12,"['Drama', 'Suspense']",2017
Beastars Final Season,https://myanimelist.net/anime/49469/Beastars_Final_Season,7.84,['Orange'],ONA,12,"['Drama', 'Suspense']",2024
Beelzebub,https://myanimelist.net/anime/9513/Beelzebub,7.84,['Pierrot Plus'],TV,60,"['Action', 'Comedy', 'Supernatural']",2011
Carole & Tuesday,https://myanimelist.net/anime/37435/Carole___Tuesday,7.84,['Bones'],TV,24,"['Drama', 'Sci-Fi']",2019
Dark Gathering,https://myanimelist.net/anime/52505/Dark_Gathering,7.84,['OLM'],TV,25,"['Horror', 'Supernatural']",2023
Durarara!! Specials,https://myanimelist.net/anime/8408/Durarara_Specials,7.84,"[""Brain's Base""]",Special,2,"['Action', 'Comedy', 'Supernatural']",2010
Fanren Xiu Xian Chuan: Xinghai Feichi Xuzhang,https://myanimelist.net/anime/55993/Fanren_Xiu_Xian_Chuan__Xinghai_Feichi_Xuzhang,7.84,"['Original Force', 'Wonder Cat Animation']",ONA,4,"['Action', 'Adventure', 'Fantasy']",2023
Haikyuu!! Riku vs. Kuu,https://myanimelist.net/anime/40262/Haikyuu_Riku_vs_Kuu,7.84,['Production I.G'],OVA,2,[],2020
Hoozuki no Reitetsu OVA,https://myanimelist.net/anime/24471/Hoozuki_no_Reitetsu_OVA,7.84,"['Studio Deen', 'Wit Studio']",OVA,4,"['Comedy', 'Fantasy']",2015
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,https://myanimelist.net/anime/15039/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai_Movie,7.83,['A-1 Pictures'],Movie,1,"['Drama', 'Supernatural']",2013
Boku no Hero Academia,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia,7.83,['Bones'],TV,13,[],2016
Enen no Shouboutai: Ni no Shou,https://myanimelist.net/anime/40956/Enen_no_Shouboutai__Ni_no_Shou,7.83,['David Production'],TV,24,"['Action', 'Fantasy', 'Sci-Fi']",2020
Free! Movie 5: The Final Stroke - Kouhen,https://myanimelist.net/anime/48830/Free_Movie_5__The_Final_Stroke_-_Kouhen,7.83,['Kyoto Animation'],Movie,1,[],2022
