anime id,studio
22507,SynergySP
6594,White Fox
5420,Production I.G
5420,Trans Arts
24415,Production I.G
1365,TMS Entertainment
6675,Madhouse
9989,A-1 Pictures
57,Madhouse
39533,Lerche
12531,Tezuka Productions
12531,MAPPA
10863,White Fox
58390,LIDENFILMS
43325,Production I.G
45,Gallop
45,Studio Deen
2150,Telescreen
759,Madhouse
54595,Nexus
486,A.C.G.T.
11917,SynergySP
1735,Studio Pierrot
36371,Production I.G
38731,Madhouse
30346,A-1 Pictures
10087,ufotable
19363,A-1 Pictures
9735,Sunrise
10408,Brain's Base
58572,C2C
25835,P.A. Works
38826,CoMix Wave Films
34798,C-Station
52588,Production I.G
43,Production I.G
37520,Tezuka Productions
37520,MAPPA
44412,Motion Magic
38691,TMS Entertainment
3002,Madhouse
35111,Production I.G
57433,CloverWorks
23327,Bones
32188,White Fox
50594,CoMix Wave Films
513,Studio Ghibli
2685,Production I.G
13125,A-1 Pictures
2418,Bones
523,Studio Ghibli
31812,A-1 Pictures
1698,J.C.Staff
53111,J.C.Staff
57067,Original Force
57067,Wonder Cat Animation
264,Madhouse
265,Madhouse
139,Nippon Animation
57592,TMS Entertainment
37989,Geno Studio
10271,Madhouse
1033,Madhouse
44940,Toei Animation
48316,Nexus
32937,Studio Deen
34036,TMS Entertainment
36990,SILVER LINK.
329,Sunrise
31240,White Fox
25681,TMS Entertainment
33051,Sunrise
512,Studio Ghibli
52299,A-1 Pictures
28805,Studio Chizu
54959,SANZIGEN
11843,Sunrise
45577,TROYCA
37450,CloverWorks
52684,Shenman Entertainment
35838,White Fox
42941,Studio Kai
54029,Sharefun Studio
54029,AHA Entertainment
37055,Nut
440,J.C.Staff
6,Madhouse
40784,Sharefun Studio
39247,Kyoto Animation
15227,MAPPA
35677,Kyoto Animation
11977,Shaft
585,Studio Ghibli
5690,J.C.Staff
49918,Bones
52578,Shin-Ei Animation
12115,Studio 4°C
372,Madhouse
61322,TMS Entertainment
38680,TMS Entertainment
38249,J.C.Staff
38249,Egg Firm
50602,Wit Studio
50602,CloverWorks
53393,Production I.G
16664,Studio Ghibli
1842,Studio Hibari
51179,Studio Bind
2966,Imagin
35466,TMS Entertainment
6811,Sunrise
16894,Production I.G
18115,A-1 Pictures
627,Studio Hibari
5460,Tokyo Movie Shinsha
5460,TMS Entertainment
37078,Colored Pencil Animation
38003,Bones
36946,Toei Animation
813,Toei Animation
40052,Wit Studio
35110,Production I.G
9863,Tatsunoko Production
59150,Sharefun Studio
59150,AHA Entertainment
3091,Production I.G
23847,feel.
55866,Ajia-do
44055,Studio Deen
32843,Satelight
40853,Shirogumi
40853,Shin-Ei Animation
49114,Bones
186,Pastel
1453,Studio Deen
40435,B.CMAY PICTURES
59408,EOTA
59408,Crew-Cell
57181,Telecom Animation Film
37171,Lerche
18617,Actas
42897,CloverWorks
34636,Production I.G
232,Madhouse
10800,Madhouse
22297,ufotable
53127,A-1 Pictures
36370,Production I.G
1142,J.C.Staff
138,Nippon Animation
6864,Production I.G
49574,B.CMAY PICTURES
49590,Science SARU
7791,Kyoto Animation
51019,ufotable
37514,Kinema Citrus
3226,SynergySP
235,TMS Entertainment
32005,TMS Entertainment
40729,TMS Entertainment
23623,SILVER LINK.
38234,Toei Animation
19123,Toei Animation
18,A.C.G.T.
33323,TMS Entertainment
59833,Drive
59228,CloverWorks
18195,J.C.Staff
558,Studio Hibari
42894,Shuka
33674,Madhouse
7674,J.C.Staff
1519,Madhouse
32867,Bones
55655,Shenman Entertainment
38088,Yumeta Company
60557,Original Force
60557,Wonder Cat Animation
39166,Actas
4107,Gainax
34537,Science SARU
40911,Production I.G
56215,B.CMAY PICTURES
49909,LIDENFILMS
853,Bones
47,Tokyo Movie Shinsha
49052,Production I.G
962,HAL Film Maker
49596,8bit
1889,Studio Deen
58913,CygamesPictures
48549,TMS Entertainment
40852,TMS Entertainment
25537,ufotable
44042,Hololive Production
1430,Tokyo Movie Shinsha
1430,Telecom Animation Film
50709,A-1 Pictures
49521,SILVER LINK.
3701,Madhouse
28675,Kyoto Animation
30503,Bones
721,HAL Film Maker
48736,CloverWorks
38481,J.C.Staff
34572,Studio Pierrot
3371,K-Factory
54856,CloverWorks
28223,Madhouse
50612,TMS Entertainment
41361,CLAP
39792,Science SARU
49053,Lerche
37962,TROYCA
731,Toei Animation
16662,Studio Ghibli
39592,Sunrise
9890,SynergySP
11597,Shaft
4477,J.C.Staff
51335,Shenman Entertainment
56738,J.C.Staff
37430,8bit
55911,Tezuka Productions
31715,A-1 Pictures
1827,Production I.G
28171,J.C.Staff
53888,Wit Studio
53888,CloverWorks
21469,Shirogumi
21469,Shin-Ei Animation
25313,Sunrise
50528,Brain's Base
36296,feel.
14713,TMS Entertainment
1604,Artland
35857,Telecom Animation Film
59841,A-1 Pictures
15059,SynergySP
20899,David Production
8129,Brain's Base
10153,Seven Arcs
57524,A-1 Pictures
1364,TMS Entertainment
6467,Tokyo Movie Shinsha
6467,TMS Entertainment
12859,Toei Animation
15323,Toei Animation
51122,Passione
40542,J.C.Staff
40542,Egg Firm
50416,P.A. Works
29831,TYO Animations
53411,P.A. Works
18689,Production I.G
18689,Madhouse
121,Bones
239,Gonzo
40421,Lerche
30370,Studio Pierrot
60420,Shenman Entertainment
60420,Tianshi Wenhua
35608,Kyoto Animation
49709,Drive
30364,Production I.G
2581,Sunrise
1566,Production I.G
50380,P.A. Works
9130,TMS Entertainment
52347,C2C
339,Triangle Staff
2236,Madhouse
52826,Kyoto Animation
1382,Sunrise
3702,Studio 4°C
6746,Brain's Base
16918,A-1 Pictures
32122,Bandai Namco Pictures
29755,Production I.G
46569,MAPPA
6336,Sunrise
30831,Studio Deen
31051,Production I.G
32902,Wit Studio
302,Nippon Animation
54650,Toei Animation
48661,David Production
55701,ufotable
31658,Production I.G
52293,Trigger
4938,Production I.G
28025,Shaft
58689,add some
23283,MAPPA
3901,Brain's Base
54789,Bones
3016,Kitty Film Mitaka Studio
2951,Sunrise
38081,Actas
12069,Madhouse
17739,Shaft
40815,Ajia-do
24833,Lerche
36369,Production I.G
135,Studio Pierrot
42429,Ajia-do
18661,TMS Entertainment
39198,Lerche
3927,Sunrise
50796,LIDENFILMS
48895,Madhouse
40080,Colored Pencil Animation
4722,HAL Film Maker
34076,P.A. Works
51096,Lerche
59306,Shenman Entertainment
32282,J.C.Staff
59828,Lapin Track
53887,Wit Studio
53887,CloverWorks
44218,Sparkly Key Animation Studio
66,J.C.Staff
56653,SANZIGEN
1471,Sunrise
3665,K-Factory
10643,Sunrise
56980,Studio Pierrot
31251,Sunrise
2449,Production I.G
22145,A-1 Pictures
31149,A-1 Pictures
51367,David Production
1486,Gallop
237,Bones
11771,Production I.G
851,Studio Pierrot
35062,Wit Studio
1367,TMS Entertainment
21419,TMS Entertainment
49320,TMS Entertainment
56063,A-1 Pictures
1257,Toei Animation
13759,J.C.Staff
4224,J.C.Staff
24277,TMS Entertainment
6547,P.A. Works
33486,Bones
27833,Shuka
12189,Kyoto Animation
59675,CygamesPictures
2025,Bones
